,,,,,,,,,,,,
Date,,Name,Type,url,Holiday year,country,url1,url2,Region,Importance,Description,ImpactID
1 Jan,Sunday,New Year's Day,Restricted Holiday,https://www.timeanddate.com/holidays/india/new-year-day,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
14 Jan,Saturday,Makar Sankranti,Restricted Holiday,https://www.timeanddate.com/holidays/india/makar-sankranti,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
14 Jan,Saturday,Lohri,Observance,https://www.timeanddate.com/holidays/india/lohri,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
15 Jan,Sunday,Pongal,Restricted Holiday,https://www.timeanddate.com/holidays/india/pongal,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
22 Jan,Sunday,Lunar New Year,Observance,https://www.timeanddate.com/holidays/india/lunar-new-year,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
26 Jan,Thursday,Republic Day,Gazetted Holiday,https://www.timeanddate.com/holidays/india/republic-day,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
26 Jan,Thursday,Vasant Panchami,Restricted Holiday,https://www.timeanddate.com/holidays/india/vasant-panchami,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
5 Feb,Sunday,Guru Ravidas Jayanti,Restricted Holiday,https://www.timeanddate.com/holidays/india/guru-ravidas-jayanti,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
5 Feb,Sunday,Hazarat Ali's Birthday,Restricted Holiday,https://www.timeanddate.com/holidays/india/harazart-ali-birthday,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
14 Feb,Tuesday,Valentine's Day,Observance,https://www.timeanddate.com/holidays/india/valentine-day,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
